Genero;Amino acid transport and metabolism;Energy production and conversion;Carbohydrate transport and metabolism;Inorganic ion transport and metabolism;Replication, recombination and repair;Cell wall/membrane/envelope biogenesis;Transcription;Coenzyme transport and metabolism;Lipid transport and metabolism;Signal transduction mechanisms;Translation, ribosomal structure and biogenesis;Secondary metabolites biosynthesis, transport, and catabolism;Intracellular trafficking, secretion, and vesicular transport;Post-translational modification, protein turnover, and chaperones;Nucleotide transport and metabolism;Defense mechanisms;Cell motility;Cell cycle control, cell division, chromosome partitioning;Chromatin structure and dynamics;RNA processing and modification;Cytoskeleton;Unknown
Cora;12.19807282;10.52085316;8.576482076;7.888029774;8.822752704;7.405928919;4.805655012;5.36022453;5.499020445;5.130535715;5.128079151;4.325396582;2.47560324;3.98086336;2.923926328;2.431999214;1.147829932;1.19757537;0.067555534;0.053430286;0.052816145;0.005527271
Sticta;12.15347612;8.931348359;10.33092123;8.807978602;5.207447801;7.070434801;7.333761845;5.021874806;4.078459018;4.501441042;3.793360841;3.141263555;6.420410956;3.143336996;3.636816024;1.998797404;3.107051774;1.264799187;0.011403927;0.009330486;0.003110162;0.033175061
Stereocaulon;13.5254863;10.77097828;10.01845804;7.618912395;8.28056226;7.187278149;4.67698424;5.179610961;5.12565668;4.424251029;5.659520091;3.998296181;2.271759194;3.71716598;2.919210564;2.436461735;1.067726821;0.979696152;0.079511572;0.022717592;0.034076388;0.005679398
