Sticta_humboldtii	Sticta_gyalocarpa	Sticta_andina	Sticta_impressula
g__Phaselicystis	0	0.000789473684210527	0.00131578947368421	0
g__Sericytochromatia	0	0.000526315789473684	0.000263157894736842	0.000263157894736842
g__unidentified_Chitinophagaceae	0	0	0.000263157894736842	0
f__Micavibrionaceae Family	0.000789473684210527	0.000526315789473684	0	0
g__0319-6G20	0	0.000526315789473684	0.00105263157894737	0
g__Reyranella	0	0	0.00157894736842105	0
o__Oxyphotobacteria_Incertae_Sedis Order	0	0	0	0
g__Nocardioides	0	0	0.000526315789473684	0
g__Opitutus	0	0	0.000526315789473684	0
g__unclassified_Bacteroidia	0	0	0.00105263157894737	0
g__Dokdonella	0	0	0.000789473684210527	0
g__Kaistia	0	0	0	0.000263157894736842
