sample.id	description	site	host_genus	host_species	host_species_ITS	latitude	longitude	Type	species.checked
Sample93	Stereocaulon ramulosum 1	Volcan de Cerro Machin	Stereocaulon	ramulosum	Stereocaulon_atlanticum	4.49222	-75.39383	Fruticoso/Escamuloso	Stereocaulon ramulosum
Sample95	Stereocaulon tomentosum 1	Volcan de Cerro Machin	Stereocaulon	tomentosum	Stereocaulon_atlanticum	4.49222	-75.39383	Fruticoso/Escamuloso	Stereocaulon ramulosum
Sample96	Stereocaulon ramulosum 3	Volcan de Cerro Machin	Stereocaulon	ramulosum	Stereocaulon_atlanticum	4.49319	-75.38472	Fruticoso/Escamuloso	Stereocaulon ramulosum
Sample97	Stereocaulon aff. pomiferum 2	Volcan de Cerro Machin	Stereocaulon	pomiferum	Stereocaulon_atlanticum	4.49383	-75.38572	Fruticoso/Escamuloso	Stereocaulon ramulosum
Sample99	Stereocaulon pomiferum 3	Volcan de Cerro Machin	Stereocaulon	pomiferum	Stereocaulon_atlanticum	4.49189	-75.38422	Fruticoso/Escamuloso	Stereocaulon ramulosum
Sample100	Stereocaulon tomentosum 4	Volcan de Cerro Machin	Stereocaulon	tomentosum	Stereocaulon_atlanticum	4.49278	-75.39333	Fruticoso/Escamuloso	Stereocaulon ramulosum
Sample101	Sticta andina 2	Volcan de Cerro Machin	Sticta	andina	Sticta_sp	4.49469	-75.38811	Folioso	Sticta andina
Sample103	Sticta andina 1	Volcan de Cerro Machin	Sticta	andina	Sticta_sp	4.49439	-75.38950	Folioso	Sticta andina
Sample105	Sticta humboldtii 1	Paramo de Sumapaz	Sticta	humboldtii	Sticta_arachnofuliginosa	4.32342	-74.20583	Folioso	Sticta pseudohumboldtii
Sample106	Sticta humboldtii 2	Paramo de Sumapaz	Sticta	humboldtii	Sticta_arachnofuliginosa	4.32342	-74.20583	Folioso	Sticta arachnofuliginosa
Sample107	Sticta humboldtii 4	Paramo de Sumapaz	Sticta	humboldtii	Sticta_macrofuliginosa	4.30081	-74.21133	Folioso	Sticta parahumboldtii
Sample108	Sticta gyalocarpa 1	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.32342	-74.20583	Folioso	Sticta aff gyalocarpa
Sample109	Sticta gyalocarpa 2	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.32342	-74.20583	Folioso	Sticta aff gyalocarpa
Sample110	Sticta gyalocarpa 3	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.32281	-74.20647	Folioso	Sticta aff gyalocarpa
Sample111	Sticta gyalocarpa 4	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.32281	-74.20647	Folioso	Sticta aff gyalocarpa
Sample112	Sticta impressula 1	Paramo de Sumapaz	Sticta	impressula	Sticta_rhizinata	4.32342	-74.20583	Folioso	Sticta rhizinata
Sample113	Sticta impressula 2	Paramo de Sumapaz	Sticta	impressula	Sticta_sylvatica	4.32342	-74.20583	Folioso	Sticta sylvatica
Sample114	Sticta impressula 3	Paramo de Sumapaz	Sticta	impressula	Sticta_sylvatica	4.32342	-74.20583	Folioso	Sticta sylvatica
Sample115	Sticta impressula 4	Paramo de Sumapaz	Sticta	impressula	Sticta_sylvatica	4.32281	-74.20647	Folioso	Sticta sylvatica
Sample116	Cora 1	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.32342	-74.20583	Folioso	Cora paraciferrii
Sample117	Cora 2	Paramo de Sumapaz	Cora	cora	Cora_sp	4.32342	-74.20583	Folioso	Cora spec Moncada 095-096
Sample118	Cora 3	Paramo de Sumapaz	Cora	cora	Cora_sp	4.32342	-74.20583	Folioso	Cora paraciferrii
Sample119	Cora 4	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.32281	-74.20647	Folioso	Cora paraciferrii
Sample120	Cora 5	Paramo de Sumapaz	Cora	cora	Cora_paraciferrii	4.32281	-74.20647	Folioso	Cora paraciferrii
Sample121	Cora 6	Paramo de Sumapaz	Cora	cora	Cora_sp	4.32281	-74.20647	Folioso	Cora paraciferrii
Sample122	Cora 7	Paramo de Sumapaz	Cora	cora	Cora_sp	4.31364	-74.20756	Folioso	Cora spec Moncada 095-096
