sample-id	description	site	host_genus	host_species	host_species_ITS	latitude	longitude	Type
Sample96	Stereocaulon ramulosum 3	Volcan de Cerro Machin	Stereocaulon	ramulosum	Stereocaulon_atlanticum	4.49319	-75.38472	Fruticoso/Escamuloso
Sample97	Stereocaulon aff. pomiferum 2	Volcan de Cerro Machin	Stereocaulon	pomiferum	Stereocaulon_atlanticum	4.49383	-75.38572	Fruticoso/Escamuloso
Sample99	Stereocaulon pomiferum 3	Volcan de Cerro Machin	Stereocaulon	pomiferum	Stereocaulon_atlanticum	4.49189	-75.38422	Fruticoso/Escamuloso
Sample100	Stereocaulon tomentosum 4	Volcan de Cerro Machin	Stereocaulon	tomentosum	Stereocaulon_atlanticum	4.49278	-75.39333	Fruticoso/Escamuloso
Sample101	Sticta andina 2	Volcan de Cerro Machin	Sticta	andina	Sticta_sp	4.49469	-75.38811	Folioso
Sample103	Sticta andina 1	Volcan de Cerro Machin	Sticta	andina	Sticta_sp	4.49439	-75.38950	Folioso
Sample105	Sticta humboldtii 1	Paramo de Sumapaz	Sticta	humboldtii	Sticta_arachnofuliginosa	4.32342	-74.20583	Folioso
Sample106	Sticta humboldtii 2	Paramo de Sumapaz	Sticta	humboldtii	Sticta_arachnofuliginosa	4.32342	-74.20583	Folioso
Sample107	Sticta humboldtii 4	Paramo de Sumapaz	Sticta	humboldtii	Sticta_macrofuliginosa	4.30081	-74.21133	Folioso
Sample108	Sticta gyalocarpa 1	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.32342	-74.20583	Folioso
Sample109	Sticta gyalocarpa 2	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.32342	-74.20583	Folioso
Sample110	Sticta gyalocarpa 3	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.32281	-74.20647	Folioso
Sample111	Sticta gyalocarpa 4	Paramo de Sumapaz	Sticta	gyalocarpa	Sticta_gyalocarpa	4.32281	-74.20647	Folioso
Sample112	Sticta impressula 1	Paramo de Sumapaz	Sticta	impressula	Sticta_rhizinata	4.32342	-74.20583	Folioso
Sample113	Sticta impressula 2	Paramo de Sumapaz	Sticta	impressula	Sticta_sylvatica	4.32342	-74.20583	Folioso
Sample114	Sticta impressula 3	Paramo de Sumapaz	Sticta	impressula	Sticta_sylvatica	4.32342	-74.20583	Folioso
Sample115	Sticta impressula 4	Paramo de Sumapaz	Sticta	impressula	Sticta_sylvatica	4.32281	-74.20647	Folioso
